branch,new_date,revenue,moving_average_of_15_days
B,1/1/2019,1536.7,
B,1/2/2019,1162.8,
B,1/3/2019,1016.69,
B,1/4/2019,510.58,
B,1/5/2019,486.76,
B,1/6/2019,1021.64,
B,1/7/2019,1341.91,
B,1/8/2019,2208.95,1252.65
B,1/9/2019,168.52,1216.42
B,1/10/2019,1348.6,1157.32
B,1/12/2019,2312.14,1131.77
B,1/13/2019,735.1,1113.09
B,1/14/2019,1191.49,1087.51
B,1/15/2019,2862.36,1052.94
B,1/16/2019,885.55,1137.41
B,1/17/2019,993.16,1096.89
B,1/18/2019,276.36,1299.21
B,1/19/2019,633.49,1270.54
B,1/20/2019,230.29,1325.09
B,1/21/2019,103.04,1339.18
B,1/22/2019,503.12,1290.13
B,1/24/2019,2608.94,1284.79
B,1/25/2019,1601.25,1333.04
B,1/26/2019,3203.28,1335.99
B,1/27/2019,918.48,1387.87
B,1/28/2019,3130.38,1411.62
B,1/29/2019,946.55,1468.31
B,1/30/2019,455.66,1642.99
B,1/31/2019,2782.28,1726.48
B,2/2/2019,1609.28,1622.23
B,2/3/2019,1037.49,1561.37
B,2/4/2019,1054.55,1471.01
B,2/5/2019,989.65,1507.94
B,2/6/2019,1080.67,1320.99
B,2/7/2019,2723.31,1308.53
B,2/8/2019,1755.45,1492.48
B,2/9/2019,1045.12,1389.57
B,2/10/2019,688.36,1339.03
B,2/11/2019,1847.93,1271.93
B,2/12/2019,1472.35,1233.03
B,2/13/2019,326.19,1281.24
B,2/14/2019,759.7,1238.25
B,2/15/2019,3214.82,1134.87
B,2/16/2019,1238.75,1099.61
B,2/17/2019,851.15,1080.81
B,2/18/2019,31,1201.46
B,2/19/2019,470.99,1213.95
B,2/20/2019,1712.8,1241.69
B,2/21/2019,435.76,1252.93
B,2/22/2019,1172.63,1264.5
B,2/23/2019,1226.65,1288.33
B,2/24/2019,763.01,1326.66
B,2/25/2019,2498.15,1282.04
B,2/26/2019,2035.37,1515.98
B,2/27/2019,1888.38,1619.27
B,2/28/2019,494.76,1524.95
B,3/1/2019,933.31,1502.07
B,3/2/2019,3572.26,1624.32
B,3/3/2019,1813.75,1565.3
B,3/4/2019,181.82,1546.65
B,3/5/2019,3540,1472.93
B,3/6/2019,2020.42,1365.5
B,3/7/2019,297.91,1373.88
B,3/8/2019,92.56,1457.54
B,3/9/2019,3006.49,1451.41
B,3/10/2019,341.26,1243.26
B,3/11/2019,483.34,1152.54
B,3/12/2019,1392.39,1180.4
B,3/13/2019,423.88,1056.65
B,3/14/2019,2013.99,935.81
B,3/15/2019,1749.77,986.02
B,3/16/2019,841.29,1005.49
B,3/17/2019,450.01,909.37
B,3/18/2019,453.03,914.49
B,3/19/2019,599.6,902.35
B,3/20/2019,1683.81,869.45
B,3/21/2019,207.86,847.57
B,3/22/2019,1051.09,850.63
B,3/23/2019,384.47,848.95
B,3/24/2019,1564.78,849.49
B,3/25/2019,418.09,880.22
B,3/26/2019,301.2,915.82
B,3/27/2019,898.89,944.57
B,3/28/2019,95.67,870.64
B,3/29/2019,2059.93,944.29
B,3/30/2019,1724.46,930.94
