ID,Branch,City,Customer_type,gender,Product_line,Unit_price,Quantity,Total,cogs,gross_income,rating,new_date,year_added,month_added
750-67-8428,A,Yangon,Member,Female,"Health and beauty",74.69,7,548.9715,522.83,26.1415,9.1,2019-01-05,2019,Jan
226-31-3081,C,Naypyitaw,Normal,Female,"Electronic accessories",15.28,5,80.22,76.4,3.82,9.6,2019-03-08,2019,Mar
631-41-3108,A,Yangon,Normal,Male,"Home and lifestyle",46.33,7,340.5255,324.31,16.2155,7.4,2019-03-03,2019,Mar
123-19-1176,A,Yangon,Member,Male,"Health and beauty",58.22,8,489.048,465.76,23.288,8.4,2019-01-27,2019,Jan
373-73-7910,A,Yangon,Normal,Male,"Sports and travel",86.31,7,634.3785,604.17,30.2085,5.3,2019-02-08,2019,Feb
699-14-3026,C,Naypyitaw,Normal,Male,"Electronic accessories",85.39,7,627.6165,597.73,29.8865,4.1,2019-03-25,2019,Mar
355-53-5943,A,Yangon,Member,Female,"Electronic accessories",68.84,6,433.692,413.04,20.652,5.8,2019-02-25,2019,Feb
315-22-5665,C,Naypyitaw,Normal,Female,"Home and lifestyle",73.56,10,772.38,735.6,36.78,8,2019-02-24,2019,Feb
665-32-9167,A,Yangon,Member,Female,"Health and beauty",36.26,2,76.146,72.52,3.626,7.2,2019-01-10,2019,Jan
692-92-5582,B,Mandalay,Member,Female,"Food and beverages",54.84,3,172.746,164.52,8.226,5.9,2019-02-20,2019,Feb
351-62-0822,B,Mandalay,Member,Female,"Fashion accessories",14.48,4,60.816,57.92,2.896,4.5,2019-02-06,2019,Feb
529-56-3974,B,Mandalay,Member,Male,"Electronic accessories",25.51,4,107.142,102.04,5.102,6.8,2019-03-09,2019,Mar
365-64-0515,A,Yangon,Normal,Female,"Electronic accessories",46.95,5,246.4875,234.75,11.7375,7.1,2019-02-12,2019,Feb
252-56-2699,A,Yangon,Normal,Male,"Food and beverages",43.19,10,453.495,431.9,21.595,8.2,2019-02-07,2019,Feb
829-34-3910,A,Yangon,Normal,Female,"Health and beauty",71.38,10,749.49,713.8,35.69,5.7,2019-03-29,2019,Mar
299-46-1805,B,Mandalay,Member,Female,"Sports and travel",93.72,6,590.436,562.32,28.116,4.5,2019-01-15,2019,Jan
656-95-9349,A,Yangon,Member,Female,"Health and beauty",68.93,7,506.6355,482.51,24.1255,4.6,2019-03-11,2019,Mar
765-26-6951,A,Yangon,Normal,Male,"Sports and travel",72.61,6,457.443,435.66,21.783,6.9,2019-01-01,2019,Jan
329-62-1586,A,Yangon,Normal,Male,"Food and beverages",54.67,3,172.2105,164.01,8.2005,8.6,2019-01-21,2019,Jan
